// Made in NPC Maker by BowieD
GUID 0b308e05eaeb4e3dbcd20374dbf02dbd
Type Vendor
ID 12002
Buying 13
Buying_0_ID 43109
Buying_0_Cost 1000
Buying_1_ID 1349
Buying_1_Cost 750
Buying_2_ID 43107
Buying_2_Cost 1500
Buying_3_ID 43132
Buying_3_Cost 2000
Buying_4_ID 1347
Buying_4_Cost 750
Buying_5_ID 43117
Buying_5_Cost 10000
Buying_6_ID 43130
Buying_6_Cost 15000
Buying_7_ID 504
Buying_7_Cost 1000
Buying_8_ID 43105
Buying_8_Cost 1200
Buying_9_ID 505
Buying_9_Cost 1000
Buying_10_ID 43115
Buying_10_Cost 30000
Buying_11_ID 1351
Buying_11_Cost 1750
Buying_12_ID 1434
Buying_12_Cost 150000
Selling 4
Selling_0_ID 43101
Selling_0_Cost 25000
Selling_1_ID 43102
Selling_1_Cost 5000
Selling_2_ID 1432
Selling_2_Cost 10000
Selling_3_ID 507
Selling_3_Cost 5000
