// Made in NPC Maker by BowieD
GUID 433a35204dce4fa6941abbf55d65c57a
Type Vendor
ID 40042
Selling 21
Selling_0_Type Vehicle
Selling_0_Spawnpoint Aviones
Selling_0_ID 46501
Selling_0_Cost 2000000
Selling_1_Type Vehicle
Selling_1_Spawnpoint Aviones
Selling_1_ID 46502
Selling_1_Cost 2000000
Selling_2_Type Vehicle
Selling_2_Spawnpoint Aviones
Selling_2_ID 46503
Selling_2_Cost 2000000
Selling_3_Type Vehicle
Selling_3_Spawnpoint Aviones
Selling_3_ID 46504
Selling_3_Cost 2000000
Selling_4_Type Vehicle
Selling_4_Spawnpoint Aviones
Selling_4_ID 46505
Selling_4_Cost 2000000
Selling_5_Type Vehicle
Selling_5_Spawnpoint Aviones
Selling_5_ID 46506
Selling_5_Cost 2000000
Selling_6_Type Vehicle
Selling_6_Spawnpoint Aviones
Selling_6_ID 46507
Selling_6_Cost 2000000
Selling_7_Type Vehicle
Selling_7_Spawnpoint Aviones
Selling_7_ID 46508
Selling_7_Cost 2000000
Selling_8_Type Vehicle
Selling_8_Spawnpoint Aviones
Selling_8_ID 39368
Selling_8_Cost 4000000
Selling_9_Type Vehicle
Selling_9_Spawnpoint Aviones
Selling_9_ID 39361
Selling_9_Cost 3500000
Selling_10_Type Vehicle
Selling_10_Spawnpoint Aviones
Selling_10_ID 39362
Selling_10_Cost 3500000
Selling_11_Type Vehicle
Selling_11_Spawnpoint Aviones
Selling_11_ID 39360
Selling_11_Cost 3500000
Selling_12_Type Vehicle
Selling_12_Spawnpoint Aviones
Selling_12_ID 39364
Selling_12_Cost 3500000
Selling_13_Type Vehicle
Selling_13_Spawnpoint Aviones
Selling_13_ID 39365
Selling_13_Cost 3500000
Selling_14_Type Vehicle
Selling_14_Spawnpoint Aviones
Selling_14_ID 39366
Selling_14_Cost 3500000
Selling_15_Type Vehicle
Selling_15_Spawnpoint Aviones
Selling_15_ID 39367
Selling_15_Cost 3500000
Selling_16_Type Vehicle
Selling_16_Spawnpoint Aviones
Selling_16_ID 39178
Selling_16_Cost 6000000
Selling_17_Type Vehicle
Selling_17_Spawnpoint Aviones
Selling_17_ID 39170
Selling_17_Cost 5500000
Selling_18_Type Vehicle
Selling_18_Spawnpoint Aviones
Selling_18_ID 39550
Selling_18_Cost 8000000
Selling_19_Type Vehicle
Selling_19_Spawnpoint Aviones
Selling_19_ID 39380
Selling_19_Cost 4000000
Selling_20_Type Vehicle
Selling_20_Spawnpoint Aviones
Selling_20_ID 39118
Selling_20_Cost 4000000
