// Made in NPC Maker by BowieD
GUID 454436d8885e41259c5c946bc1e74487
Type Vendor
ID 15052
Selling 10
Selling_0_Type Vehicle
Selling_0_Spawnpoint Autos
Selling_0_ID 53002
Selling_0_Cost 30000
Selling_1_Type Vehicle
Selling_1_Spawnpoint Autos
Selling_1_ID 53003
Selling_1_Cost 30000
Selling_2_Type Vehicle
Selling_2_Spawnpoint Autos
Selling_2_ID 53009
Selling_2_Cost 45000
Selling_3_Type Vehicle
Selling_3_Spawnpoint Autos
Selling_3_ID 53010
Selling_3_Cost 45000
Selling_4_Type Vehicle
Selling_4_Spawnpoint Autos
Selling_4_ID 53011
Selling_4_Cost 45000
Selling_5_Type Vehicle
Selling_5_Spawnpoint Autos
Selling_5_ID 53008
Selling_5_Cost 35000
Selling_6_Type Vehicle
Selling_6_Spawnpoint Autos
Selling_6_ID 53012
Selling_6_Cost 30000
Selling_7_Type Vehicle
Selling_7_Spawnpoint Autos
Selling_7_ID 53014
Selling_7_Cost 25000
Selling_8_Type Vehicle
Selling_8_Spawnpoint Autos
Selling_8_ID 53016
Selling_8_Cost 20000
Selling_9_Type Vehicle
Selling_9_Spawnpoint Autos
Selling_9_ID 53018
Selling_9_Cost 65000
