// Made in NPC Maker by BowieD
GUID 59ac4cb7935e40f4a47cbf9c47f9bd6d
Type Vendor
ID 54002
Selling 14
Selling_0_ID 48101
Selling_0_Cost 10000
Selling_1_ID 48103
Selling_1_Cost 5000
Selling_2_ID 48104
Selling_2_Cost 5000
Selling_3_ID 48105
Selling_3_Cost 5000
Selling_4_ID 47205
Selling_4_Cost 50000
Selling_5_ID 47207
Selling_5_Cost 5000
Selling_6_ID 47206
Selling_6_Cost 5000
Selling_7_ID 47213
Selling_7_Cost 20000
Selling_8_ID 47214
Selling_8_Cost 5000
Selling_9_ID 47215
Selling_9_Cost 5000
Selling_10_ID 47324
Selling_10_Cost 20000
Selling_11_ID 47333
Selling_11_Cost 40000
Selling_12_ID 47325
Selling_12_Cost 5000
Selling_13_ID 47327
Selling_13_Cost 5000
