// Made in NPC Maker by BowieD
GUID 64861222e37f429f874c98421504944f
Type Vendor
ID 8002
Buying 6
Buying_0_ID 47806
Buying_0_Cost 500
Buying_1_ID 47802
Buying_1_Cost 750
Buying_2_ID 47845
Buying_2_Cost 4000
Buying_3_ID 47813
Buying_3_Cost 3000
Buying_4_ID 47841
Buying_4_Cost 5000
Buying_5_ID 47833
Buying_5_Cost 4200
Selling 5
Selling_0_ID 1270
Selling_0_Cost 35000
Selling_1_ID 1271
Selling_1_Cost 2000
Selling_2_ID 1475
Selling_2_Cost 10000
Selling_3_ID 1198
Selling_3_Cost 2500
Selling_4_ID 1199
Selling_4_Cost 2500
