// Made in NPC Maker by BowieD
GUID c7ea72f3099f4656b3334239df61d2ff
Type Vendor
ID 9002
Buying 9
Buying_0_ID 49115
Buying_0_Cost 1000
Buying_1_ID 49117
Buying_1_Cost 1000
Buying_2_ID 49119
Buying_2_Cost 1000
Buying_3_ID 37
Buying_3_Cost 100
Buying_4_ID 39
Buying_4_Cost 100
Buying_5_ID 41
Buying_5_Cost 100
Buying_6_ID 42188
Buying_6_Cost 500
Buying_7_ID 1159
Buying_7_Cost 500
Buying_8_ID 42193
Buying_8_Cost 2500
Selling 2
Selling_0_ID 490
Selling_0_Cost 35000
Selling_1_ID 16
Selling_1_Cost 2500
