// Made in NPC Maker by BowieD
GUID f1dd1dce849643308a9e7ae7f5c2e607
Type Vendor
ID 49051
Selling 6
Selling_0_Type Vehicle
Selling_0_Spawnpoint Camion
Selling_0_ID 47315
Selling_0_Cost 100000
Selling_1_Type Vehicle
Selling_1_Spawnpoint Camion
Selling_1_ID 47285
Selling_1_Cost 500000
Selling_2_Type Vehicle
Selling_2_Spawnpoint Camion
Selling_2_ID 47378
Selling_2_Cost 3000000
Selling_3_Type Vehicle
Selling_3_Spawnpoint Camion
Selling_3_ID 39590
Selling_3_Cost 250000
Selling_4_Type Vehicle
Selling_4_Spawnpoint Camion
Selling_4_ID 39580
Selling_4_Cost 600000
Selling_5_Type Vehicle
Selling_5_Spawnpoint Camion
Selling_5_ID 47199
Selling_5_Cost 250000
