// Made in NPC Maker by BowieD
GUID f940bc766b344a099bd50fb07ef530ab
Type Vendor
ID 17002
Buying 9
Buying_0_ID 41101
Buying_0_Cost 3000
Buying_1_ID 1117
Buying_1_Cost 3000
Buying_2_ID 41130
Buying_2_Cost 3000
Buying_3_ID 41148
Buying_3_Cost 3000
Buying_4_ID 462
Buying_4_Cost 3000
Buying_5_ID 41132
Buying_5_Cost 3000
Buying_6_ID 41113
Buying_6_Cost 500
Buying_7_ID 41118
Buying_7_Cost 500
Buying_8_ID 516
Buying_8_Cost 500
Selling 3
Selling_0_ID 346
Selling_0_Cost 10000
Selling_1_ID 347
Selling_1_Cost 300
Selling_2_ID 137
Selling_2_Cost 15000
